,sim,lda,freq,lda_log_freq_1,corpus,n_comp,size,delta,delta_max
167,15,0.34418,0.32782,0.33133,en_wiki,2,64,0.003510000000000013,0.016359999999999986
168,15,0.34418,0.32782,0.3433,en_wiki,2,128,0.015479999999999994,0.016359999999999986
169,15,0.34418,0.32782,0.34004,en_wiki,2,256,0.012220000000000009,0.016359999999999986
170,15,0.34418,0.32782,0.34348,en_wiki,2,512,0.015660000000000007,0.016359999999999986
171,15,0.34418,0.32782,0.34419,en_wiki,2,1024,0.016369999999999996,0.016359999999999986
172,15,0.34418,0.32782,0.34387,en_wiki,2,2048,0.01605000000000001,0.016359999999999986
173,15,0.34418,0.32782,0.34386,en_wiki,2,4096,0.01604,0.016359999999999986
174,15,0.34418,0.32782,0.34344,en_wiki,2,8192,0.015620000000000023,0.016359999999999986
175,15,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
176,16,0.34418,0.32782,0.32714,en_wiki,2,16,-0.0006800000000000139,0.016359999999999986
177,16,0.34418,0.32782,0.33873,en_wiki,2,32,0.010909999999999975,0.016359999999999986
178,16,0.34418,0.32782,0.3246,en_wiki,2,64,-0.0032200000000000006,0.016359999999999986
179,16,0.34418,0.32782,0.34073,en_wiki,2,128,0.012909999999999977,0.016359999999999986
180,16,0.34418,0.32782,0.34419,en_wiki,2,256,0.016369999999999996,0.016359999999999986
181,16,0.34418,0.32782,0.34364,en_wiki,2,512,0.01582,0.016359999999999986
182,16,0.34418,0.32782,0.34391,en_wiki,2,1024,0.016089999999999993,0.016359999999999986
183,16,0.34418,0.32782,0.34403,en_wiki,2,2048,0.016210000000000002,0.016359999999999986
184,16,0.34418,0.32782,0.34393,en_wiki,2,4096,0.016110000000000013,0.016359999999999986
185,16,0.34418,0.32782,0.34383,en_wiki,2,8192,0.016010000000000024,0.016359999999999986
186,16,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
187,17,0.34418,0.32782,0.31162,en_wiki,2,16,-0.016199999999999992,0.016359999999999986
188,17,0.34418,0.32782,0.33558,en_wiki,2,32,0.007759999999999989,0.016359999999999986
189,17,0.34418,0.32782,0.33674,en_wiki,2,64,0.008919999999999983,0.016359999999999986
190,17,0.34418,0.32782,0.34325,en_wiki,2,128,0.01543,0.016359999999999986
191,17,0.34418,0.32782,0.3427,en_wiki,2,256,0.014880000000000004,0.016359999999999986
192,17,0.34418,0.32782,0.34293,en_wiki,2,512,0.015110000000000012,0.016359999999999986
193,17,0.34418,0.32782,0.3442,en_wiki,2,1024,0.016380000000000006,0.016359999999999986
194,17,0.34418,0.32782,0.34352,en_wiki,2,2048,0.015699999999999992,0.016359999999999986
195,17,0.34418,0.32782,0.34413,en_wiki,2,4096,0.01630999999999999,0.016359999999999986
196,17,0.34418,0.32782,0.34404,en_wiki,2,8192,0.016220000000000012,0.016359999999999986
197,17,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
198,18,0.34418,0.32782,0.34251,en_wiki,2,16,0.01468999999999998,0.016359999999999986
199,18,0.34418,0.32782,0.26503,en_wiki,2,32,-0.06279000000000001,0.016359999999999986
200,18,0.34418,0.32782,0.34107,en_wiki,2,64,0.013249999999999984,0.016359999999999986
201,18,0.34418,0.32782,0.33936,en_wiki,2,128,0.011539999999999995,0.016359999999999986
202,18,0.34418,0.32782,0.34297,en_wiki,2,256,0.015149999999999997,0.016359999999999986
203,18,0.34418,0.32782,0.34343,en_wiki,2,512,0.015610000000000013,0.016359999999999986
204,18,0.34418,0.32782,0.34383,en_wiki,2,1024,0.016010000000000024,0.016359999999999986
205,18,0.34418,0.32782,0.34323,en_wiki,2,2048,0.01540999999999998,0.016359999999999986
206,18,0.34418,0.32782,0.3442,en_wiki,2,4096,0.016380000000000006,0.016359999999999986
207,18,0.34418,0.32782,0.34393,en_wiki,2,8192,0.016110000000000013,0.016359999999999986
208,18,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
209,19,0.34418,0.32782,0.28745,en_wiki,2,16,-0.04037000000000002,0.016359999999999986
210,19,0.34418,0.32782,0.33355,en_wiki,2,32,0.005730000000000013,0.016359999999999986
211,19,0.34418,0.32782,0.3411,en_wiki,2,64,0.013280000000000014,0.016359999999999986
212,19,0.34418,0.32782,0.33946,en_wiki,2,128,0.011639999999999984,0.016359999999999986
213,19,0.34418,0.32782,0.34356,en_wiki,2,256,0.015739999999999976,0.016359999999999986
214,19,0.34418,0.32782,0.34105,en_wiki,2,512,0.01323000000000002,0.016359999999999986
215,19,0.34418,0.32782,0.34384,en_wiki,2,1024,0.01601999999999998,0.016359999999999986
216,19,0.34418,0.32782,0.34378,en_wiki,2,2048,0.015959999999999974,0.016359999999999986
217,19,0.34418,0.32782,0.3436,en_wiki,2,4096,0.015780000000000016,0.016359999999999986
218,19,0.34418,0.32782,0.34388,en_wiki,2,8192,0.01606000000000002,0.016359999999999986
219,19,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
220,20,0.34418,0.32782,0.3248,en_wiki,2,16,-0.0030200000000000227,0.016359999999999986
221,20,0.34418,0.32782,0.32973,en_wiki,2,32,0.0019100000000000228,0.016359999999999986
222,20,0.34418,0.32782,0.34133,en_wiki,2,64,0.013510000000000022,0.016359999999999986
223,20,0.34418,0.32782,0.34327,en_wiki,2,128,0.01545000000000002,0.016359999999999986
224,20,0.34418,0.32782,0.34329,en_wiki,2,256,0.015469999999999984,0.016359999999999986
225,20,0.34418,0.32782,0.34381,en_wiki,2,512,0.015990000000000004,0.016359999999999986
226,20,0.34418,0.32782,0.34299,en_wiki,2,1024,0.015170000000000017,0.016359999999999986
227,20,0.34418,0.32782,0.3441,en_wiki,2,2048,0.016280000000000017,0.016359999999999986
228,20,0.34418,0.32782,0.34349,en_wiki,2,4096,0.015670000000000017,0.016359999999999986
229,20,0.34418,0.32782,0.34389,en_wiki,2,8192,0.016069999999999973,0.016359999999999986
230,20,0.34418,0.32782,0.34398,en_wiki,2,20615,0.016160000000000008,0.016359999999999986
231,21,0.34418,0.32782,0.33718,en_wiki,2,16,0.00935999999999998,0.016359999999999986
232,21,0.34418,0.32782,0.34115,en_wiki,2,32,0.013330000000000009,0.016359999999999986
233,21,0.34418,0.32782,0.34128,en_wiki,2,64,0.013459999999999972,0.016359999999999986
234,21,0.34418,0.32782,0.33978,en_wiki,2,128,0.011960000000000026,0.016359999999999986
235,21,0.34418,0.32782,0.34388,en_wiki,2,256,0.01606000000000002,0.016359999999999986
236,21,0.34418,0.32782,0.34416,en_wiki,2,512,0.01634000000000002,0.016359999999999986
237,21,0.34418,0.32782,0.34042,en_wiki,2,1024,0.0126,0.016359999999999986
238,21,0.34418,0.32782,0.34412,en_wiki,2,2048,0.01629999999999998,0.016359999999999986
