,sim,lda,freq,lda_log_freq_1,analysis,n_comp,size,delta,delta_max
127,11,0.34418,0.32782,0.34307,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0152499999999999,0.0163599999999999
128,11,0.34418,0.32782,0.34418,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.0163599999999999,0.0163599999999999
129,11,0.34418,0.32782,0.34373,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.0159099999999999,0.0163599999999999
130,11,0.34418,0.32782,0.34408,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.0162599999999999,0.0163599999999999
131,11,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
132,12,0.34418,0.32782,0.05913,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,-0.26869,0.0163599999999999
133,12,0.34418,0.32782,0.30706,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,-0.02076,0.0163599999999999
134,12,0.34418,0.32782,0.33429,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.0064699999999999,0.0163599999999999
135,12,0.34418,0.32782,0.33911,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.01129,0.0163599999999999
136,12,0.34418,0.32782,0.34404,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01622,0.0163599999999999
137,12,0.34418,0.32782,0.34154,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.01372,0.0163599999999999
138,12,0.34418,0.32782,0.34338,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.01556,0.0163599999999999
139,12,0.34418,0.32782,0.34415,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.01633,0.0163599999999999
140,12,0.34418,0.32782,0.34414,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.01632,0.0163599999999999
141,12,0.34418,0.32782,0.34414,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01632,0.0163599999999999
142,12,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
143,13,0.34418,0.32782,0.34082,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,0.013,0.0163599999999999
144,13,0.34418,0.32782,0.32519,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,-0.00263,0.0163599999999999
145,13,0.34418,0.32782,0.33968,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.0118599999999999,0.0163599999999999
146,13,0.34418,0.32782,0.34062,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0127999999999999,0.0163599999999999
147,13,0.34418,0.32782,0.34161,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01379,0.0163599999999999
148,13,0.34418,0.32782,0.34287,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.01505,0.0163599999999999
149,13,0.34418,0.32782,0.34356,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0157399999999999,0.0163599999999999
150,13,0.34418,0.32782,0.34389,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.0160699999999999,0.0163599999999999
151,13,0.34418,0.32782,0.34417,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.0163499999999999,0.0163599999999999
152,13,0.34418,0.32782,0.34366,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01584,0.0163599999999999
153,13,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
154,14,0.34418,0.32782,0.34039,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,0.01257,0.0163599999999999
155,14,0.34418,0.32782,0.33844,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,0.01062,0.0163599999999999
156,14,0.34418,0.32782,0.34375,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.01593,0.0163599999999999
157,14,0.34418,0.32782,0.34186,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0140399999999999,0.0163599999999999
158,14,0.34418,0.32782,0.33961,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01179,0.0163599999999999
159,14,0.34418,0.32782,0.34391,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.0160899999999999,0.0163599999999999
160,14,0.34418,0.32782,0.34278,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0149599999999999,0.0163599999999999
161,14,0.34418,0.32782,0.34286,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.0150399999999999,0.0163599999999999
162,14,0.34418,0.32782,0.34401,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.0161899999999999,0.0163599999999999
163,14,0.34418,0.32782,0.34399,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01617,0.0163599999999999
164,14,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
165,15,0.34418,0.32782,0.04881,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,-0.27901,0.0163599999999999
166,15,0.34418,0.32782,0.33564,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,0.0078199999999999,0.0163599999999999
167,15,0.34418,0.32782,0.33133,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.00351,0.0163599999999999
168,15,0.34418,0.32782,0.3433,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0154799999999999,0.0163599999999999
169,15,0.34418,0.32782,0.34004,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01222,0.0163599999999999
170,15,0.34418,0.32782,0.34348,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.01566,0.0163599999999999
171,15,0.34418,0.32782,0.34419,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0163699999999999,0.0163599999999999
172,15,0.34418,0.32782,0.34387,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.01605,0.0163599999999999
173,15,0.34418,0.32782,0.34386,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.01604,0.0163599999999999
174,15,0.34418,0.32782,0.34344,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01562,0.0163599999999999
175,15,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
176,16,0.34418,0.32782,0.32714,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,-0.00068,0.0163599999999999
177,16,0.34418,0.32782,0.33873,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,0.0109099999999999,0.0163599999999999
178,16,0.34418,0.32782,0.3246,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,-0.00322,0.0163599999999999
179,16,0.34418,0.32782,0.34073,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0129099999999999,0.0163599999999999
180,16,0.34418,0.32782,0.34419,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.0163699999999999,0.0163599999999999
181,16,0.34418,0.32782,0.34364,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.01582,0.0163599999999999
182,16,0.34418,0.32782,0.34391,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.0160899999999999,0.0163599999999999
183,16,0.34418,0.32782,0.34403,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.01621,0.0163599999999999
184,16,0.34418,0.32782,0.34393,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.01611,0.0163599999999999
185,16,0.34418,0.32782,0.34383,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01601,0.0163599999999999
186,16,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
187,17,0.34418,0.32782,0.31162,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,-0.0161999999999999,0.0163599999999999
188,17,0.34418,0.32782,0.33558,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,0.0077599999999999,0.0163599999999999
189,17,0.34418,0.32782,0.33674,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.0089199999999999,0.0163599999999999
190,17,0.34418,0.32782,0.34325,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.01543,0.0163599999999999
191,17,0.34418,0.32782,0.3427,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.01488,0.0163599999999999
192,17,0.34418,0.32782,0.34293,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.01511,0.0163599999999999
193,17,0.34418,0.32782,0.3442,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.01638,0.0163599999999999
194,17,0.34418,0.32782,0.34352,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.0156999999999999,0.0163599999999999
195,17,0.34418,0.32782,0.34413,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.0163099999999999,0.0163599999999999
196,17,0.34418,0.32782,0.34404,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01622,0.0163599999999999
197,17,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
198,18,0.34418,0.32782,0.34251,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,0.0146899999999999,0.0163599999999999
199,18,0.34418,0.32782,0.26503,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,-0.06279,0.0163599999999999
200,18,0.34418,0.32782,0.34107,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.0132499999999999,0.0163599999999999
201,18,0.34418,0.32782,0.33936,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0115399999999999,0.0163599999999999
202,18,0.34418,0.32782,0.34297,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.0151499999999999,0.0163599999999999
203,18,0.34418,0.32782,0.34343,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.01561,0.0163599999999999
204,18,0.34418,0.32782,0.34383,dataset-wikipedia_randomSeed-754_maxSize-None,2,1024,0.01601,0.0163599999999999
205,18,0.34418,0.32782,0.34323,dataset-wikipedia_randomSeed-754_maxSize-None,2,2048,0.0154099999999999,0.0163599999999999
206,18,0.34418,0.32782,0.3442,dataset-wikipedia_randomSeed-754_maxSize-None,2,4096,0.01638,0.0163599999999999
207,18,0.34418,0.32782,0.34393,dataset-wikipedia_randomSeed-754_maxSize-None,2,8192,0.01611,0.0163599999999999
208,18,0.34418,0.32782,0.34398,dataset-wikipedia_randomSeed-754_maxSize-None,2,20615,0.01616,0.0163599999999999
209,19,0.34418,0.32782,0.28745,dataset-wikipedia_randomSeed-754_maxSize-None,2,16,-0.04037,0.0163599999999999
210,19,0.34418,0.32782,0.33355,dataset-wikipedia_randomSeed-754_maxSize-None,2,32,0.00573,0.0163599999999999
211,19,0.34418,0.32782,0.3411,dataset-wikipedia_randomSeed-754_maxSize-None,2,64,0.01328,0.0163599999999999
212,19,0.34418,0.32782,0.33946,dataset-wikipedia_randomSeed-754_maxSize-None,2,128,0.0116399999999999,0.0163599999999999
213,19,0.34418,0.32782,0.34356,dataset-wikipedia_randomSeed-754_maxSize-None,2,256,0.0157399999999999,0.0163599999999999
214,19,0.34418,0.32782,0.34105,dataset-wikipedia_randomSeed-754_maxSize-None,2,512,0.01323,0.0163599999999999
